# first 1000 are full spectra, next 1000 have random lines missing, next 1000 is just noise
1.078596403616146837e+00 4.000906717038787871e-10 1.378312364019862483e-10 2.400448112223175501e-01 3.783221338534362932e+00 7.051845218046931540e-01 1.237611431115226341e-12 7.889910946801137874e-13 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.363914545338329898e+00 5.084538056142886564e-01 1.751623360341224012e-01 2.252748511039145696e-01 4.783986479615327525e+00 6.617945097059770854e-01 2.607608993349330722e-07 1.662379824907134207e-07 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
7.662395825771016467e-02 5.829494341121110867e-01 2.008260800516222522e-01 3.488982599223017234e-01 2.687616915387939787e-01 1.024965510935081481e+00 7.424542298077603242e-01 4.733228546524036462e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.448454495964887734e+00 6.815352297966738027e-01 2.347888866649541217e-01 1.355665609948926376e+00 1.209559626785299002e+01 3.982566421706599247e+00 3.381776911125403906e+00 2.155920509451360267e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.090103697210616396e+00 1.715105199955854642e+00 5.908537413847918529e-01 1.423151122338235375e+00 7.331124858683326195e+00 4.180819983367319637e+00 1.087564085193687413e-02 6.933342376601347654e-03 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.182303425031570043e+00 8.849014188072601841e-10 3.048485387791011098e-10 1.928076033001719092e-01 4.146977990289617999e+00 5.664148158054403970e-01 5.449203521190211230e-01 3.473928038499433102e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.171892688243186376e-01 1.240681636674963340e+00 4.274148238345248929e-01 8.338812277556298946e-01 1.112554432915884295e+00 2.449709834769771000e+00 2.038456104093165688e+00 1.299538508283288207e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.046119415703384181e+00 1.457707338623351223e+00 5.021801781557444500e-01 8.208019772344119502e-01 7.176848178545716550e+00 2.411286654625182102e+00 2.320625451538036010e+00 1.479424615286265343e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.228901001557506145e+00 1.333487367181782846e+00 4.593863979941241737e-01 1.089889168699773814e+00 7.817962124017910241e+00 3.201789567273131354e+00 1.559163863536751293e+00 9.939843577309392941e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.050061217736532493e+00 2.670899184140778648e-01 9.201247689364980276e-02 7.374173358768353337e-01 3.683132998023614046e+00 2.166325898580597542e+00 1.644396810960040867e+00 1.048321312609996614e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.411155092819025292e+00 1.098034633356708145e+00 3.782729311913859416e-01 8.355319455290413089e-01 8.457225860466589751e+00 2.454559181930203504e+00 3.070157296936126379e+00 1.957259528838535045e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
6.577920189171494458e-01 1.251151943597502925e+00 4.310218445693396738e-01 5.202930051119585286e-01 2.307232616335143316e+00 1.528475338166740638e+00 9.433625917281125428e-01 6.014041767997657661e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.003194427951789702e+00 1.339558082999415589e+00 4.614777595932986753e-01 1.157257825136485785e+00 3.518745801304067555e+00 3.399699838826339082e+00 1.354976569860893099e+00 8.638126800082195356e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.625246662484937987e+00 2.922473104014470913e+00 1.006791984332985113e+00 1.180901839190048097e+00 5.700619650946817885e+00 3.469159339571234568e+00 1.620653657318515517e+00 1.033184787274330940e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.682091092596732951e-01 2.243039087801435016e-10 7.727269657475943115e-11 4.120989949285558253e-13 1.642262747315584859e+00 1.210631594972255658e-12 1.729280984630321603e-09 1.102435920330435692e-09 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.078699493443990409e+00 1.730723568079922670e+00 5.962342692035333958e-01 1.234492796629612199e+00 1.079866535757274804e+01 3.626594584693338508e+00 1.051625142747005137e+00 6.704227608995314558e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.006726996920671802e+00 9.199107653401483069e-09 3.169092586596810651e-09 1.194362958712529510e+00 7.038677646161599633e+00 3.508704344043859003e+00 1.499214659812642791e+00 9.557660715368117010e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.742293222953651632e-01 1.223635198499550772e-07 4.215423258830952209e-08 4.945954141926692249e-01 2.014133014013907541e+00 1.452983002916184541e+00 3.807001171398284867e-01 2.427005719366495673e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.342421095428319333e+00 1.219522723608072567e+00 4.201255782829809715e-01 8.120828545007070520e-01 8.216138531842577919e+00 2.385672310519115769e+00 4.444821885289528263e-01 2.833623540284028741e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.311744414743852394e-01 2.807476072607063000e-01 9.671755070131329846e-02 1.848230208058700419e-01 1.161608002365433823e+00 5.429583454931552478e-01 9.884467504886089717e-01 6.301458309885304976e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.716145973620347265e+00 4.744925130905671695e-01 1.634626707597003903e-01 9.778960498267240675e-01 6.019452731042957971e+00 2.872785105248895743e+00 1.167216454834209660e+00 7.441135119432675804e-01 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
